iter	Passed	Remaining
181	2108	3684
182	2125	3682
183	2140	3676
184	2156	3672
185	2171	3665
186	2184	3655
187	2194	3641
188	2204	3627
189	2216	3616
190	2226	3602
191	2236	3587
192	2247	3574
193	2257	3560
194	2268	3548
195	2281	3538
196	2290	3523
197	2302	3511
198	2313	3498
199	2323	3484
200	2333	3471
201	2344	3458
202	2356	3447
203	2368	3437
204	2381	3427
205	2395	3418
206	2407	3407
207	2417	3393
208	2428	3381
209	2439	3368
210	2450	3355
211	2460	3342
212	2472	3331
213	2485	3322
214	2502	3317
215	2517	3310
216	2530	3300
217	2545	3292
218	2558	3282
219	2571	3272
220	2586	3265
221	2598	3254
222	2609	3241
223	2621	3230
224	2634	3220
225	2647	3209
226	2657	3196
227	2670	3185
228	2682	3174
229	2692	3160
230	2705	3150
231	2718	3139
232	2730	3128
233	2743	3118
234	2757	3109
235	2770	3098
236	2784	3090
237	2796	3078
238	2808	3067
239	2820	3055
240	2831	3042
241	2841	3028
242	2853	3017
243	2865	3006
244	2876	2994
245	2889	2983
246	2902	2972
247	2913	2960
248	2924	2948
249	2936	2936
250	2949	2926
251	2960	2913
252	2973	2903
253	2984	2890
254	2994	2876
255	3005	2864
256	3015	2851
257	3026	2839
258	3038	2827
259	3049	2815
260	3061	2803
261	3072	2790
262	3083	2778
263	3095	2766
264	3107	2755
265	3118	2743
266	3129	2730
267	3140	2718
268	3152	2706
269	3162	2694
270	3173	2681
271	3185	2669
272	3197	2658
273	3209	2647
274	3220	2635
275	3232	2623
276	3242	2610
277	3254	2599
278	3266	2587
279	3276	2574
280	3287	2561
281	3297	2549
282	3309	2537
283	3319	2524
284	3330	2512
285	3340	2499
286	3350	2486
287	3361	2474
288	3371	2461
289	3382	2449
290	3392	2436
291	3403	2424
292	3416	2413
293	3426	2401
294	3438	2389
295	3450	2378
296	3461	2365
297	3472	2353
298	3482	2341
299	3494	2329
300	3504	2317
301	3515	2304
302	3527	2293
303	3537	2280
304	3548	2268
305	3559	2256
306	3570	2244
307	3580	2232
308	3592	2220
309	3604	2209
310	3614	2196
311	3626	2185
312	3637	2173
313	3651	2163
314	3664	2152
315	3676	2140
316	3687	2128
317	3698	2117
318	3711	2105
319	3721	2093
320	3732	2081
321	3743	2069
322	3753	2056
323	3764	2045
324	3775	2032
325	3785	2020
326	3796	2008
327	3808	1997
328	3819	1985
329	3829	1972
330	3840	1960
331	3849	1948
332	3862	1937
333	3874	1925
334	3885	1913
335	3896	1902
336	3909	1891
337	3919	1878
338	3931	1867
339	3942	1855
340	3954	1843
341	3965	1832
342	3977	1820
343	3988	1808
344	4000	1797
345	4011	1785
346	4022	1773
347	4035	1762
348	4045	1750
349	4056	1738
350	4066	1726
351	4077	1714
352	4088	1702
353	4099	1690
354	4111	1679
355	4122	1667
356	4133	1655
357	4143	1643
358	4154	1631
359	4164	1619
360	4174	1607
361	4185	1595
362	4196	1583
363	4201	1569
364	4212	1558
