iter	Accuracy	MultiClass
153	0.9371428571	0.5470823512
154	0.939047619	0.5446463868
155	0.939047619	0.5408276447
156	0.9428571429	0.5382951216
157	0.9447619048	0.5348011388
158	0.9428571429	0.5318850516
159	0.9428571429	0.5292437347
160	0.9428571429	0.5278114584
161	0.940952381	0.5262731537
162	0.940952381	0.5233285577
163	0.9428571429	0.5221410761
164	0.9428571429	0.5192558158
165	0.9428571429	0.5143266861
166	0.9466666667	0.5102629441
167	0.9485714286	0.5077678036
168	0.9485714286	0.505455999
169	0.9485714286	0.5037941812
170	0.9485714286	0.5021843288
171	0.9485714286	0.4987351876
172	0.9485714286	0.4961784369
173	0.9485714286	0.4949175024
174	0.9504761905	0.4918537506
175	0.9523809524	0.4893034787
176	0.9523809524	0.4868375089
177	0.9542857143	0.4844080777
178	0.9542857143	0.481212065
179	0.9561904762	0.4771419543
180	0.9561904762	0.4745330435
181	0.96	0.472396065
182	0.9619047619	0.4699474783
183	0.9619047619	0.4671100205
184	0.9619047619	0.4646601163
185	0.9638095238	0.4632199274
186	0.9638095238	0.4615416373
187	0.9638095238	0.4601349333
188	0.9657142857	0.4573749888
189	0.9657142857	0.455813421
190	0.9676190476	0.4526301215
191	0.9676190476	0.4500545436
192	0.9676190476	0.4476933777
193	0.9676190476	0.4454034494
194	0.9676190476	0.4444796497
195	0.9676190476	0.4422508105
196	0.9676190476	0.4409461514
197	0.9676190476	0.4396790172
198	0.9695238095	0.4371216317
199	0.9695238095	0.4345250118
200	0.9714285714	0.4321389694
201	0.9714285714	0.4305868153
202	0.9714285714	0.429928848
203	0.9695238095	0.4280264477
204	0.9695238095	0.4266184738
205	0.9714285714	0.4258148568
206	0.9714285714	0.4246227474
207	0.9714285714	0.4227708093
208	0.9695238095	0.4207604083
209	0.9695238095	0.4180533283
210	0.9695238095	0.4163815853
211	0.9695238095	0.4160232149
212	0.9714285714	0.413559681
213	0.9714285714	0.4126060275
214	0.9714285714	0.4114715287
215	0.9714285714	0.4093582563
216	0.9714285714	0.4075331754
217	0.9733333333	0.4056207378
218	0.9733333333	0.4051031249
219	0.9733333333	0.4027117851
220	0.9733333333	0.4011399668
221	0.9752380952	0.3992626135
222	0.9733333333	0.3974500185
223	0.9733333333	0.3953051936
224	0.9733333333	0.3947320116
225	0.9733333333	0.3928245492
226	0.9714285714	0.3906013966
227	0.9714285714	0.3895106544
228	0.9733333333	0.3879634446
229	0.9752380952	0.3852406674
230	0.980952381	0.3826437132
231	0.9771428571	0.3808420592
232	0.979047619	0.3791971407
233	0.979047619	0.3772104434
234	0.979047619	0.3765583948
235	0.979047619	0.3741913486
236	0.979047619	0.3718439828
237	0.980952381	0.3697299389
238	0.980952381	0.3675009559
239	0.9828571429	0.3667898067
240	0.9828571429	0.3650549365
241	0.9828571429	0.3629805334
242	0.980952381	0.361823777
243	0.980952381	0.3600057609
244	0.9828571429	0.3580401368
245	0.9828571429	0.3564039852
246	0.9828571429	0.3551269412
247	0.9828571429	0.3533612324
248	0.9828571429	0.352401365
249	0.9828571429	0.3516744404
250	0.9828571429	0.3502155162
251	0.9847619048	0.3482152741
252	0.9828571429	0.3473617916
253	0.9847619048	0.3459054176
254	0.9847619048	0.3437665051
255	0.9866666667	0.3420812577
256	0.9866666667	0.3402458565
257	0.9866666667	0.3386302769
258	0.9866666667	0.3363337623
259	0.9866666667	0.3340477338
260	0.9866666667	0.3335650819
261	0.9866666667	0.3324243673
262	0.9866666667	0.3312030818
263	0.9866666667	0.329602333
264	0.9866666667	0.3287847316
265	0.9866666667	0.3267211315
266	0.9866666667	0.3255138823
267	0.9866666667	0.3245399986
268	0.9866666667	0.3232911873
269	0.9866666667	0.3220852883
270	0.9866666667	0.320832036
271	0.9885714286	0.3192722038
272	0.9885714286	0.3178094624
273	0.9885714286	0.3169166493
274	0.9885714286	0.315304999
275	0.9885714286	0.3147978626
276	0.9885714286	0.3132900313
277	0.9885714286	0.3118504354
278	0.9885714286	0.3110068708
279	0.9904761905	0.3101746576
280	0.9904761905	0.3091209832
281	0.9904761905	0.3080777532
282	0.9904761905	0.3068082043
283	0.9904761905	0.3055776896
284	0.9904761905	0.3040006037
285	0.9885714286	0.3030801157
286	0.9885714286	0.3018024917
287	0.9904761905	0.3012349323
288	0.9904761905	0.2988544584
289	0.9904761905	0.297495837
290	0.9904761905	0.2965565355
291	0.9904761905	0.2958733455
292	0.9904761905	0.2948365283
293	0.9904761905	0.2937628652
294	0.9904761905	0.2930672439
295	0.9923809524	0.2915557289
296	0.9904761905	0.2900620251
297	0.9923809524	0.2894165283
298	0.9942857143	0.2881264814
299	0.9942857143	0.2872599187
300	0.9942857143	0.2859361669
301	0.9942857143	0.2851127095
302	0.9942857143	0.2838850529
303	0.9961904762	0.2827334884
304	0.9961904762	0.2823156889
305	0.9961904762	0.2815968321
306	0.9980952381	0.2804217228
307	0.9980952381	0.2792094617
308	0.9980952381	0.2788343206
309	0.9980952381	0.2782356075
310	0.9980952381	0.2768336828
311	0.9980952381	0.2759660682
312	0.9980952381	0.2745723873
313	0.9980952381	0.2732440149
314	0.9980952381	0.2724737208
315	0.9980952381	0.2714155297
316	0.9980952381	0.2711592561
317	0.9980952381	0.2704029535
318	0.9980952381	0.2694462611
319	0.9980952381	0.2681990175
320	0.9980952381	0.2678808064
321	0.9980952381	0.2671723736
322	0.9980952381	0.2658091592
323	0.9980952381	0.2651302163
324	0.9980952381	0.2641873485
325	0.9980952381	0.262964379
326	0.9980952381	0.2616456534
327	0.9980952381	0.2605549809
328	0.9980952381	0.25977543
329	0.9980952381	0.2587053971
330	0.9980952381	0.257504714
331	0.9980952381	0.2563978591
332	0.9980952381	0.2555088685
333	0.9980952381	0.2547959377
334	0.9980952381	0.2540317474
335	0.9980952381	0.2529177682
336	0.9980952381	0.2519649723
337	0.9980952381	0.2512072736
338	0.9980952381	0.2504815064
339	0.9980952381	0.249324081
340	0.9980952381	0.2486634967
341	0.9980952381	0.2474684414
342	0.9980952381	0.2472038964
343	0.9980952381	0.2461110541
344	0.9980952381	0.2451846633
345	0.9980952381	0.2447225789
346	0.9980952381	0.243913539
347	0.9980952381	0.2434267903
348	0.9980952381	0.2424000931
349	0.9980952381	0.2412173158
350	0.9980952381	0.2398857283
351	0.9980952381	0.2393973536
352	0.9980952381	0.2388183899
353	0.9980952381	0.2379475105
354	0.9980952381	0.2376663707
355	0.9980952381	0.2369830844
356	0.9980952381	0.2361654704
357	0.9980952381	0.2351682757
358	0.9980952381	0.233781829
359	0.9980952381	0.2333684672
360	0.9980952381	0.2325614625
361	0.9980952381	0.2315134751
362	0.9980952381	0.2306781728
363	0.9980952381	0.2305249116
364	0.9980952381	0.2300663813
