,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre
1331,0.586,0.514,1.0,-11.928,0.0,0.0395,0.643,0.421,0.11,0.155,156.96,audio_features,3IlbpxM6lji2UsBL2VYIAn,spotify:track:3IlbpxM6lji2UsBL2VYIAn,https://api.spotify.com/v1/tracks/3IlbpxM6lji2UsBL2VYIAn,https://api.spotify.com/v1/audio-analysis/3IlbpxM6lji2UsBL2VYIAn,274553,4,folk
1332,0.578,0.848,5.0,-6.842,1.0,0.0261,0.0563,0.00426,0.0963,0.779,87.246,audio_features,3gHFKiDanj4d2rqgHlRFFc,spotify:track:3gHFKiDanj4d2rqgHlRFFc,https://api.spotify.com/v1/tracks/3gHFKiDanj4d2rqgHlRFFc,https://api.spotify.com/v1/audio-analysis/3gHFKiDanj4d2rqgHlRFFc,264093,4,folk
1333,0.669,0.386,2.0,-14.641,1.0,0.0524,0.398,0.000257,0.267,0.604,87.704,audio_features,68oEtRynOZG9E3yeTBWu3k,spotify:track:68oEtRynOZG9E3yeTBWu3k,https://api.spotify.com/v1/tracks/68oEtRynOZG9E3yeTBWu3k,https://api.spotify.com/v1/audio-analysis/68oEtRynOZG9E3yeTBWu3k,76693,4,folk
1334,0.714,0.306,6.0,-12.111,1.0,0.0388,0.726,0.168,0.0924,0.314,129.984,audio_features,0ZNYGrmcehorhh9JOeg5Iv,spotify:track:0ZNYGrmcehorhh9JOeg5Iv,https://api.spotify.com/v1/tracks/0ZNYGrmcehorhh9JOeg5Iv,https://api.spotify.com/v1/audio-analysis/0ZNYGrmcehorhh9JOeg5Iv,266907,4,folk
1335,0.653,0.809,0.0,-4.057,1.0,0.0474,0.194,0.0,0.165,0.55,92.213,audio_features,5CLGzJsGqhCEECcpnFQA8x,spotify:track:5CLGzJsGqhCEECcpnFQA8x,https://api.spotify.com/v1/tracks/5CLGzJsGqhCEECcpnFQA8x,https://api.spotify.com/v1/audio-analysis/5CLGzJsGqhCEECcpnFQA8x,210773,4,funk
1336,0.876,0.573,0.0,-3.764,1.0,0.431,0.294,0.0,0.121,0.756,92.236,audio_features,4FI0rdztOAYJZMupujL5Gp,spotify:track:4FI0rdztOAYJZMupujL5Gp,https://api.spotify.com/v1/tracks/4FI0rdztOAYJZMupujL5Gp,https://api.spotify.com/v1/audio-analysis/4FI0rdztOAYJZMupujL5Gp,205453,4,funk
1337,0.586,0.437,2.0,-10.306,1.0,0.0264,0.0953,4.72e-06,0.124,0.458,90.717,audio_features,1kSxm4vU26W5xSUdnPUkyB,spotify:track:1kSxm4vU26W5xSUdnPUkyB,https://api.spotify.com/v1/tracks/1kSxm4vU26W5xSUdnPUkyB,https://api.spotify.com/v1/audio-analysis/1kSxm4vU26W5xSUdnPUkyB,340933,4,funk
1338,0.808,0.85,5.0,-8.772,1.0,0.0868,0.115,0.000109,0.316,0.717,106.855,audio_features,3K0SJUQNbOkUprTFcwwAKN,spotify:track:3K0SJUQNbOkUprTFcwwAKN,https://api.spotify.com/v1/tracks/3K0SJUQNbOkUprTFcwwAKN,https://api.spotify.com/v1/audio-analysis/3K0SJUQNbOkUprTFcwwAKN,186533,4,funk
1339,0.698,0.703,11.0,-6.095,1.0,0.0504,0.0736,2.69e-06,0.305,0.662,186.139,audio_features,3alpZ4A3wcqNw3VReg2c2W,spotify:track:3alpZ4A3wcqNw3VReg2c2W,https://api.spotify.com/v1/tracks/3alpZ4A3wcqNw3VReg2c2W,https://api.spotify.com/v1/audio-analysis/3alpZ4A3wcqNw3VReg2c2W,228920,4,funk
1340,0.805,0.737,11.0,-7.284,1.0,0.251,0.34,0.0,0.901,0.486,92.929,audio_features,3p1oRfbN2RrDdSyG8S7itI,spotify:track:3p1oRfbN2RrDdSyG8S7itI,https://api.spotify.com/v1/tracks/3p1oRfbN2RrDdSyG8S7itI,https://api.spotify.com/v1/audio-analysis/3p1oRfbN2RrDdSyG8S7itI,251067,4,funk
