,msPlayed,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,trackName,artistName,genre,type,id,uri,track_href,analysis_url,sentiment_polarity,weighted_score
2135,2436259.0,0.565,0.603,9.0,-8.597,1.0,0.0329,0.324,4.87e-05,0.195,0.132,104.0,233133.0,4.0,Hands Held High,Linkin Park,alternative metal,audio_features,0m7mTaFGMiKI3rBJpYknip,spotify:track:0m7mTaFGMiKI3rBJpYknip,https://api.spotify.com/v1/tracks/0m7mTaFGMiKI3rBJpYknip,https://api.spotify.com/v1/audio-analysis/0m7mTaFGMiKI3rBJpYknip,0.16,1.4460069138837322e+19
1720,18333.0,0.333,0.78,6.0,-16.711,0.0,0.0701,0.0174,0.9,0.878,0.038,80.293,18333.0,5.0,Empty Spaces,Linkin Park,alternative metal,audio_features,5tgyRhmZ480ytCSxJKZIKv,spotify:track:5tgyRhmZ480ytCSxJKZIKv,https://api.spotify.com/v1/tracks/5tgyRhmZ480ytCSxJKZIKv,https://api.spotify.com/v1/audio-analysis/5tgyRhmZ480ytCSxJKZIKv,-0.1,6161700932037.23
3425,54757.0,0.79,0.00885,2.0,-28.05,1.0,0.0724,0.991,0.945,0.106,0.581,110.027,54960.0,5.0,Oh! Student and Teacher Affection Piano,Kato,anime lo-fi,audio_features,2Z6xuwDmQZ1o8YlaSVLUhM,spotify:track:2Z6xuwDmQZ1o8YlaSVLUhM,https://api.spotify.com/v1/tracks/2Z6xuwDmQZ1o8YlaSVLUhM,https://api.spotify.com/v1/audio-analysis/2Z6xuwDmQZ1o8YlaSVLUhM,0.0,164179503736093.28
1652,679183.0,0.667,0.0809,9.0,-22.628,0.0,0.0354,0.979,0.869,0.0949,0.0674,128.014,199687.0,4.0,Drifting,Jisatsu,anime lo-fi,audio_features,42lr5I32FRjGgjfO1w9PGK,spotify:track:42lr5I32FRjGgjfO1w9PGK,https://api.spotify.com/v1/tracks/42lr5I32FRjGgjfO1w9PGK,https://api.spotify.com/v1/audio-analysis/42lr5I32FRjGgjfO1w9PGK,0.0,3.133000187322215e+17
3676,215832.0,0.648,0.118,8.0,-18.372,1.0,0.032,0.942,0.774,0.0683,0.232,94.485,215833.0,4.0,Puddles,Jordy Chandra,anime lo-fi,audio_features,16Ur2rs2LmY5rfUhQGt9Ds,spotify:track:16Ur2rs2LmY5rfUhQGt9Ds,https://api.spotify.com/v1/tracks/16Ur2rs2LmY5rfUhQGt9Ds,https://api.spotify.com/v1/audio-analysis/16Ur2rs2LmY5rfUhQGt9Ds,0.0,1.0054199660410368e+16
2789,154817.0,0.805,0.313,9.0,-11.078,0.0,0.0775,0.307,0.913,0.191,0.234,79.033,154818.0,4.0,Lavender,Kupla,anime lo-fi,audio_features,2eBuez59MU3mSXwamfYueg,spotify:track:2eBuez59MU3mSXwamfYueg,https://api.spotify.com/v1/tracks/2eBuez59MU3mSXwamfYueg,https://api.spotify.com/v1/audio-analysis/2eBuez59MU3mSXwamfYueg,0.0,3710700841256513.0
2258,162490.0,0.594,0.399,4.0,-11.369,1.0,0.0556,0.965,0.752,0.112,0.052,97.397,162490.0,3.0,Hitchhikers,Jordy Chandra,anime lo-fi,audio_features,0VLquR2M28ldDhTyyZkvNc,spotify:track:0VLquR2M28ldDhTyyZkvNc,https://api.spotify.com/v1/tracks/0VLquR2M28ldDhTyyZkvNc,https://api.spotify.com/v1/audio-analysis/0VLquR2M28ldDhTyyZkvNc,0.0,4290223486249000.0
2380,70983.0,0.632,0.00644,9.0,-31.092,0.0,0.117,0.995,0.97,0.103,0.497,72.606,71099.0,5.0,I Have Seen Much,Kato,anime lo-fi,audio_features,43OtdiC7SZXk5MTDkvQwJv,spotify:track:43OtdiC7SZXk5MTDkvQwJv,https://api.spotify.com/v1/tracks/43OtdiC7SZXk5MTDkvQwJv,https://api.spotify.com/v1/audio-analysis/43OtdiC7SZXk5MTDkvQwJv,0.2,357653970552087.25
620,117913.0,0.716,0.186,8.0,-15.668,1.0,0.0542,0.992,0.906,0.372,0.0363,115.067,117913.0,3.0,dreamy,Linearwave,anime lo-fi,audio_features,4qfoz6SI8KDdUtTTtmAzR5,spotify:track:4qfoz6SI8KDdUtTTtmAzR5,https://api.spotify.com/v1/tracks/4qfoz6SI8KDdUtTTtmAzR5,https://api.spotify.com/v1/audio-analysis/4qfoz6SI8KDdUtTTtmAzR5,0.0,1639400514767497.2
4283,115384.0,0.726,0.322,10.0,-12.98,1.0,0.0442,0.784,0.897,0.663,0.489,104.1,115385.0,4.0,Summer Picnic,Jordy Chandra,anime lo-fi,audio_features,5qLIUUbJUlb3aXEiDThZef,spotify:track:5qLIUUbJUlb3aXEiDThZef,https://api.spotify.com/v1/tracks/5qLIUUbJUlb3aXEiDThZef,https://api.spotify.com/v1/audio-analysis/5qLIUUbJUlb3aXEiDThZef,0.0,1536161128943104.2
3542,153103.0,0.638,0.0727,4.0,-21.77,1.0,0.0336,0.948,0.919,0.183,0.206,116.126,153103.0,4.0,Palace in The Sky,Kainbeats,anime lo-fi,audio_features,4pzMiVfo8eUDYILNcrMKmx,spotify:track:4pzMiVfo8eUDYILNcrMKmx,https://api.spotify.com/v1/tracks/4pzMiVfo8eUDYILNcrMKmx,https://api.spotify.com/v1/audio-analysis/4pzMiVfo8eUDYILNcrMKmx,0.0,3588815251623727.0
4066,47268.0,0.659,0.0252,0.0,-29.631,1.0,0.0644,0.995,0.971,0.118,0.551,72.679,47395.0,5.0,Silent Song,Kato,anime lo-fi,audio_features,0dGpjJZKp46gLCTbRLnJmZ,spotify:track:0dGpjJZKp46gLCTbRLnJmZ,https://api.spotify.com/v1/tracks/0dGpjJZKp46gLCTbRLnJmZ,https://api.spotify.com/v1/audio-analysis/0dGpjJZKp46gLCTbRLnJmZ,0.0,105609182432832.23
2264,140415.0,0.689,0.0195,9.0,-29.956,0.0,0.0563,0.995,0.966,0.0978,0.466,118.006,67700.0,4.0,Hokage's Funeral Piano,Kato,anime lo-fi,audio_features,70OPQ6oTnJVoqAmTBBhBXQ,spotify:track:70OPQ6oTnJVoqAmTBBhBXQ,https://api.spotify.com/v1/tracks/70OPQ6oTnJVoqAmTBBhBXQ,https://api.spotify.com/v1/audio-analysis/70OPQ6oTnJVoqAmTBBhBXQ,0.0,2768474405973375.0
3279,76897.0,0.73,0.0127,10.0,-31.121,0.0,0.0625,0.994,0.967,0.127,0.3,115.093,66946.0,5.0,Naruto Wind - Ending Theme,Kato,anime lo-fi,audio_features,1k2E3gqI8CmfTEfN88QTbu,spotify:track:1k2E3gqI8CmfTEfN88QTbu,https://api.spotify.com/v1/tracks/1k2E3gqI8CmfTEfN88QTbu,https://api.spotify.com/v1/audio-analysis/1k2E3gqI8CmfTEfN88QTbu,0.0,454703388586273.2
3922,94250.0,0.79,0.0183,4.0,-28.659,0.0,0.0789,0.994,0.95,0.101,0.194,99.742,94315.0,4.0,Sadness and Sorrow (From Naruto),Kato,anime lo-fi,audio_features,5BpaEYjWflsH4rZrpaL75L,spotify:track:5BpaEYjWflsH4rZrpaL75L,https://api.spotify.com/v1/tracks/5BpaEYjWflsH4rZrpaL75L,https://api.spotify.com/v1/audio-analysis/5BpaEYjWflsH4rZrpaL75L,0.0,837228640625000.1
3723,61324.0,0.655,0.00453,1.0,-29.388,0.0,0.064,0.995,0.938,0.0794,0.359,66.678,61388.0,5.0,Rainy Day Piano,Kato,anime lo-fi,audio_features,5YHf1xeZTq9SZXgNxEt5BS,spotify:track:5YHf1xeZTq9SZXgNxEt5BS,https://api.spotify.com/v1/tracks/5YHf1xeZTq9SZXgNxEt5BS,https://api.spotify.com/v1/audio-analysis/5YHf1xeZTq9SZXgNxEt5BS,0.0,230617056620224.2
1339,57652.0,0.603,0.0573,0.0,-29.724,0.0,0.0549,0.995,0.941,0.111,0.471,63.017,49910.0,3.0,Colorful Mist,Kato,anime lo-fi,audio_features,0VbJRHJNv7KxfeYsNaFU8w,spotify:track:0VbJRHJNv7KxfeYsNaFU8w,https://api.spotify.com/v1/tracks/0VbJRHJNv7KxfeYsNaFU8w,https://api.spotify.com/v1/audio-analysis/0VbJRHJNv7KxfeYsNaFU8w,0.3,191621013951808.22
230,57348.0,0.523,0.617,9.0,-7.76,0.0,0.0265,0.0856,0.857,0.139,0.0868,79.964,101820.0,4.0,Alone (Naruto),Kato,anime lo-fi,audio_features,7kkT0Z4U36CLd8uhnQ9SMs,spotify:track:7kkT0Z4U36CLd8uhnQ9SMs,https://api.spotify.com/v1/tracks/7kkT0Z4U36CLd8uhnQ9SMs,https://api.spotify.com/v1/audio-analysis/7kkT0Z4U36CLd8uhnQ9SMs,0.0,188605706928192.25
2381,57674.0,0.771,0.0186,9.0,-27.213,0.0,0.0766,0.99,0.957,0.103,0.607,108.955,57674.0,4.0,I Have Seen Much Piano,Kato,anime lo-fi,audio_features,6885dqLox0xQJys0eIatKO,spotify:track:6885dqLox0xQJys0eIatKO,https://api.spotify.com/v1/tracks/6885dqLox0xQJys0eIatKO,https://api.spotify.com/v1/audio-analysis/6885dqLox0xQJys0eIatKO,0.2,191840465378024.28
4067,66458.0,0.746,0.0106,9.0,-28.922,0.0,0.108,0.992,0.968,0.106,0.594,109.076,66458.0,4.0,Silent Song Piano,Kato,anime lo-fi,audio_features,7g0Wlqyi6sTkLGmYHRqlGE,spotify:track:7g0Wlqyi6sTkLGmYHRqlGE,https://api.spotify.com/v1/tracks/7g0Wlqyi6sTkLGmYHRqlGE,https://api.spotify.com/v1/audio-analysis/7g0Wlqyi6sTkLGmYHRqlGE,0.0,293522773343912.25
4494,63491.0,0.63,0.00728,5.0,-29.489,0.0,0.0484,0.993,0.973,0.145,0.482,142.176,63647.0,3.0,The Raising Fighting Spirit Piano,Kato,anime lo-fi,audio_features,04jdxCevAQIP6vsCptCrrK,spotify:track:04jdxCevAQIP6vsCptCrrK,https://api.spotify.com/v1/tracks/04jdxCevAQIP6vsCptCrrK,https://api.spotify.com/v1/audio-analysis/04jdxCevAQIP6vsCptCrrK,0.0,255939019679771.22
232,61825.0,0.691,0.00816,9.0,-25.501,0.0,0.093,0.992,0.967,0.149,0.424,67.549,61857.0,4.0,Alone Piano,Kato,anime lo-fi,audio_features,6x4EFTRAPdQsXyRtzo22y5,spotify:track:6x4EFTRAPdQsXyRtzo22y5,https://api.spotify.com/v1/tracks/6x4EFTRAPdQsXyRtzo22y5,https://api.spotify.com/v1/audio-analysis/6x4EFTRAPdQsXyRtzo22y5,0.0,236315590890625.22
